id,name,source,rarity,acquired_runs,wins,win_rate,ci_low,ci_high,baseline_delta,median_floor,rarity_rank,rarity_pool,a0_runs,a0_wins,a0_win_rate,a0_rarity_rank,a0_rarity_pool,a10_runs,a10_wins,a10_win_rate,a10_rarity_rank,a10_rarity_pool
HEFTY_TABLET,沉重石板,原版,Ancient,232,128,0.5517241379310345,0.4874055821463162,0.6143576961170139,-0.017648655986967188,1.0,,,81,41,0.5061728395061729,,,54,25,0.46296296296296297,,
NEW_LEAF,新叶,原版,Ancient,184,101,0.5489130434782609,0.47674598789022254,0.6190795029945244,-0.020459750439740798,1.0,,,70,33,0.4714285714285714,,,42,20,0.47619047619047616,,
CURSED_PEARL,诅咒珍珠,原版,Ancient,150,82,0.5466666666666666,0.4668277632715898,0.6241750139207229,-0.02270612725133503,1.0,,,49,24,0.4897959183673469,,,38,25,0.6578947368421053,,
LARGE_CAPSULE,巨大扭蛋,原版,Ancient,106,56,0.5283018867924528,0.4339517346801943,0.6206724487967789,-0.04107090712554884,1.0,,,50,19,0.38,,,17,9,0.5294117647058824,,
ARCANE_SCROLL,奥术卷轴,原版,Ancient,262,134,0.5114503816793893,0.4511959909953636,0.5713738520479928,-0.057922412238612386,1.0,,,111,56,0.5045045045045045,,,43,15,0.3488372093023256,,
RADIANT_PEARL,发光珍珠,原版,Ancient,4,2,0.5,0.15003898915214947,0.8499610108478506,-0.06937279391800166,18.0,,,0,0,,,,3,2,0.6666666666666666,,
LAVA_ROCK,熔岩石,原版,Ancient,61,28,0.45901639344262296,0.3401293229385576,0.5827595186924353,-0.1103564004753787,1,,,35,14,0.4,,,9,5,0.5555555555555556,,
PRECISE_SCISSORS,精准剪刀,原版,Ancient,119,54,0.453781512605042,0.36717453925202004,0.5432791454762266,-0.11559128131295965,1,,,53,19,0.3584905660377358,,,22,9,0.4090909090909091,,
VELVET_CHOKER,天鹅绒颈圈,原版,Ancient,3,1,0.3333333333333333,0.06149194472039621,0.7923403991979522,-0.23603946058466835,18,,,2,1,0.5,,,0,0,,,
SNECKO_SKULL,异蛇头骨,原版,Common,1,1,1.0,0.20654931437723745,1.0,0.43062720608199834,38,,,1,1,1.0,,,0,0,,,
ANCHOR,锚,原版,Common,650,562,0.8646153846153846,0.8361612949048752,0.8887850871354032,0.2952425906973829,27.0,1,27,207,168,0.8115942028985508,6,27,126,105,0.8333333333333334,6,27
STRIKE_DUMMY,打击木偶,原版,Common,562,484,0.8612099644128114,0.8301661891033982,0.8873492804172873,0.29183717049480973,27.0,2,27,182,151,0.8296703296703297,3,27,117,103,0.8803418803418803,1,27
LANTERN,灯笼,原版,Common,704,602,0.8551136363636364,0.8271847201832477,0.8791881459003942,0.2857408424456347,27.0,3,27,233,196,0.8412017167381974,2,27,132,107,0.8106060606060606,13,27
MGR_MOD_RELIC_GUITAR_PICK,吉他拨片,MGR,Common,585,498,0.8512820512820513,0.8201604316656962,0.8778203131397609,0.2819092573640496,28,4,27,187,159,0.8502673796791443,1,27,131,109,0.8320610687022901,7,27
WHETSTONE,磨刀石,原版,Common,644,546,0.8478260869565217,0.8180277696916555,0.8734994456482242,0.27845329303852007,27.0,5,27,223,181,0.8116591928251121,5,27,121,99,0.8181818181818182,11,27
BRONZE_SCALES,铜质鳞片,原版,Common,586,495,0.8447098976109215,0.8131503434104957,0.8717794694374207,0.27533710369291986,26.0,6,27,202,157,0.7772277227722773,12,27,115,96,0.8347826086956521,5,27
CENTENNIAL_PUZZLE,百年积木,原版,Common,614,518,0.8436482084690554,0.8127940286469175,0.8702290899464726,0.27427541455105375,28.0,7,27,203,167,0.8226600985221675,4,27,119,101,0.8487394957983193,3,27
PENDULUM,摆动球,原版,Common,594,496,0.835016835016835,0.8030339599794176,0.8626943767356328,0.26564404109883333,27.0,8,27,207,160,0.7729468599033816,13,27,121,102,0.8429752066115702,4,27
BAG_OF_PREPARATION,准备背包,原版,Common,723,603,0.8340248962655602,0.8051537252539068,0.8593653306398933,0.26465210234755854,26,9,27,236,184,0.7796610169491526,10,27,142,117,0.823943661971831,9,27
POTION_BELT,药水腰带,原版,Common,638,532,0.8338557993730408,0.8029930646137657,0.8607222410050446,0.2644830054550391,28.0,10,27,223,176,0.7892376681614349,7,27,118,98,0.8305084745762712,8,27
ODDLY_SMOOTH_STONE,意外光滑的石头,原版,Common,621,517,0.8325281803542673,0.8011350763888606,0.8598325885600738,0.2631553864362657,26,11,27,211,161,0.7630331753554502,17,27,114,97,0.8508771929824561,2,27
VAJRA,金刚杵,原版,Common,651,540,0.8294930875576036,0.7986911176012366,0.8564292847822461,0.260120293639602,26,12,27,201,147,0.7313432835820896,22,27,122,100,0.819672131147541,10,27
HAPPY_FLOWER,开心小花,原版,Common,680,563,0.8279411764705882,0.7977506427222123,0.8544473108343633,0.2585683825525865,26.5,13,27,229,178,0.777292576419214,11,27,134,105,0.7835820895522388,18,27
FESTIVE_POPPER,节日拉炮,原版,Common,534,441,0.8258426966292135,0.7913801088898353,0.8556507108670635,0.25646990271121184,26.0,14,27,186,142,0.7634408602150538,16,27,108,85,0.7870370370370371,17,27
RED_MASK,红面具,原版,Common,613,506,0.8254486133768353,0.7933984447052349,0.8534452365914578,0.2560758194588336,26,15,27,206,159,0.7718446601941747,14,27,101,77,0.7623762376237624,20,27
VENERABLE_TEA_SET,古茶具套装,原版,Common,597,491,0.8224455611390284,0.7897591842120042,0.8510088492650156,0.2530727672210268,27,16,27,202,159,0.7871287128712872,8,27,105,82,0.780952380952381,19,27
WAR_PAINT,战纹涂料,原版,Common,700,573,0.8185714285714286,0.7883093872370852,0.845356041831679,0.24919863465342695,27.0,17,27,233,176,0.7553648068669528,21,27,125,102,0.816,12,27
GORGET,护喉甲,原版,Common,639,520,0.8137715179968701,0.7817447979283928,0.8420481987704241,0.24439872407886842,27,18,27,214,163,0.7616822429906542,19,27,109,83,0.7614678899082569,21,27
STRAWBERRY,草莓,原版,Common,601,489,0.8136439267886856,0.780555582122306,0.8427482514724776,0.24427113287068392,26,19,27,197,154,0.7817258883248731,9,27,124,99,0.7983870967741935,16,27
MGR_MOD_RELIC_BOOK_OF_GRUDGES,记仇小本本,MGR,Common,439,357,0.8132118451025057,0.774093842461832,0.8468958921766925,0.243839051184504,23,20,27,156,118,0.7564102564102564,20,27,77,62,0.8051948051948052,15,27
BLOOD_VIAL,小血瓶,原版,Common,610,493,0.8081967213114755,0.7750620411904906,0.837473972135112,0.2388239273934738,26.0,21,27,215,165,0.7674418604651163,15,27,103,83,0.8058252427184466,14,27
BAG_OF_MARBLES,弹珠袋,原版,Common,603,485,0.8043117744610282,0.7707617326481181,0.8340090763753948,0.23493898054302653,26,22,27,210,152,0.7238095238095238,23,27,112,81,0.7232142857142857,24,27
REGAL_PILLOW,皇家枕头,原版,Common,603,480,0.7960199004975125,0.7620310961775942,0.8262609442076758,0.22664710657951082,26,23,27,198,151,0.7626262626262627,18,27,103,78,0.7572815533980582,22,27
MEAL_TICKET,餐券,原版,Common,432,336,0.7777777777777778,0.7362221528361146,0.8144367969787913,0.20840498385977613,22.0,24,27,150,104,0.6933333333333334,25,27,79,57,0.7215189873417721,25,27
JUZU_BRACELET,佛珠手链,原版,Common,459,354,0.7712418300653595,0.7306582129433251,0.8073229796543399,0.20186903614735785,24,25,27,153,107,0.6993464052287581,24,27,72,51,0.7083333333333334,26,27
